[0.000000] (-) TimerEvent: {}
[0.000305] (-) JobUnselected: {'identifier': 'botcmd_msgs'}
[0.000336] (-) JobUnselected: {'identifier': 'ca_description'}
[0.000359] (-) JobUnselected: {'identifier': 'ca_driver'}
[0.000380] (-) JobUnselected: {'identifier': 'ca_msgs'}
[0.000400] (-) JobUnselected: {'identifier': 'ca_tools'}
[0.000421] (-) JobUnselected: {'identifier': 'car_db_manager_action'}
[0.000440] (-) JobUnselected: {'identifier': 'car_db_manager_bridge'}
[0.000464] (-) JobUnselected: {'identifier': 'car_db_manager_msgs'}
[0.000483] (-) JobUnselected: {'identifier': 'car_db_manager_qtgui'}
[0.000501] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000520] (-) JobUnselected: {'identifier': 'create_autonomy'}
[0.000538] (-) JobUnselected: {'identifier': 'dlux_global_planner'}
[0.000556] (-) JobUnselected: {'identifier': 'dlux_plugins'}
[0.000575] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000593] (-) JobUnselected: {'identifier': 'dwb_local_planner'}
[0.000611] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000629] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000647] (-) JobUnselected: {'identifier': 'global_planner_tests'}
[0.000665] (-) JobUnselected: {'identifier': 'i_robot_navigation'}
[0.000683] (-) JobUnselected: {'identifier': 'i_robot_stage'}
[0.000701] (-) JobUnselected: {'identifier': 'libcreate'}
[0.000722] (-) JobUnselected: {'identifier': 'locomotor'}
[0.000740] (-) JobUnselected: {'identifier': 'locomotor_msgs'}
[0.000759] (-) JobUnselected: {'identifier': 'locomove_base'}
[0.000777] (-) JobUnselected: {'identifier': 'mongodb_log'}
[0.000795] (-) JobUnselected: {'identifier': 'mongodb_store'}
[0.000813] (-) JobUnselected: {'identifier': 'mongodb_store_msgs'}
[0.000831] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000849] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000867] (-) JobUnselected: {'identifier': 'nav_core2'}
[0.000885] (-) JobUnselected: {'identifier': 'nav_core_adapter'}
[0.000903] (-) JobUnselected: {'identifier': 'nav_grid'}
[0.000921] (-) JobUnselected: {'identifier': 'nav_grid_iterators'}
[0.000940] (-) JobUnselected: {'identifier': 'nav_grid_pub_sub'}
[0.000957] (-) JobUnselected: {'identifier': 'omron_os32c_driver'}
[0.000975] (-) JobUnselected: {'identifier': 'open_auto_dock'}
[0.000994] (-) JobUnselected: {'identifier': 'open_auto_dock_msgs'}
[0.001012] (-) JobUnselected: {'identifier': 'pnp_msgs'}
[0.001030] (-) JobUnselected: {'identifier': 'pnp_ros'}
[0.001048] (-) JobUnselected: {'identifier': 'pnp_rosplan'}
[0.001066] (-) JobUnselected: {'identifier': 'razor_imu_9dof'}
[0.001084] (-) JobUnselected: {'identifier': 'robot_control_msgs'}
[0.001102] (-) JobUnselected: {'identifier': 'robot_database_bridge'}
[0.001121] (-) JobUnselected: {'identifier': 'robot_localization'}
[0.001138] (-) JobUnselected: {'identifier': 'robot_navigation'}
[0.001157] (-) JobUnselected: {'identifier': 'robot_scheduling_actions'}
[0.001175] (-) JobUnselected: {'identifier': 'robot_scheduling_msgs'}
[0.001193] (-) JobUnselected: {'identifier': 'robot_udp_bridge'}
[0.001211] (-) JobUnselected: {'identifier': 'ros_utility_tools'}
[0.001229] (-) JobUnselected: {'identifier': 'rp_action'}
[0.001247] (-) JobUnselected: {'identifier': 'rp_action_msgs'}
[0.001265] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.001283] (-) JobUnselected: {'identifier': 'samsungcmd_msgs'}
[0.001301] (-) JobUnselected: {'identifier': 'spatio_temporal_voxel_layer'}
[0.001319] (-) JobUnselected: {'identifier': 'stated_roslaunch'}
[0.001337] (-) JobUnselected: {'identifier': 'teb2_local_planner'}
[0.001355] (-) JobUnselected: {'identifier': 'timed_roslaunch'}
[0.001373] (-) JobUnselected: {'identifier': 'tug_example_actions'}
[0.001391] (-) JobUnselected: {'identifier': 'tug_example_msgs'}
[0.001409] (-) JobUnselected: {'identifier': 'tug_example_pnp_server'}
[0.001427] (-) JobUnselected: {'identifier': 'turtlebot_teleop'}
[0.001445] (-) JobUnselected: {'identifier': 'yocs_cmd_vel_mux'}
[0.001471] (robot_scheduling_server) JobQueued: {'identifier': 'robot_scheduling_server', 'dependencies': OrderedDict([('nav_2d_msgs', '/home/handsome/ros_ws_test/install/nav_2d_msgs'), ('pnp_msgs', '/home/handsome/ros_ws_test/install/pnp_msgs'), ('ros_utility_tools', '/home/handsome/ros_ws_test/install/ros_utility_tools'), ('locomotor_msgs', '/home/handsome/ros_ws_test/install/locomotor_msgs'), ('pnp_ros', '/home/handsome/ros_ws_test/install/pnp_ros'), ('robot_scheduling_msgs', '/home/handsome/ros_ws_test/install/robot_scheduling_msgs')])}
[0.001894] (robot_scheduling_server) JobStarted: {'identifier': 'robot_scheduling_server'}
[0.098846] (-) TimerEvent: {}
[0.174048] (robot_scheduling_server) JobProgress: {'identifier': 'robot_scheduling_server', 'progress': 'cmake'}
[0.175321] (robot_scheduling_server) JobProgress: {'identifier': 'robot_scheduling_server', 'progress': 'build'}
