[0.000000] (-) TimerEvent: {}
[0.000821] (-) JobUnselected: {'identifier': 'botcmd_msgs'}
[0.000882] (-) JobUnselected: {'identifier': 'ca_description'}
[0.000909] (-) JobUnselected: {'identifier': 'ca_driver'}
[0.000930] (-) JobUnselected: {'identifier': 'ca_msgs'}
[0.000951] (-) JobUnselected: {'identifier': 'ca_tools'}
[0.000973] (-) JobUnselected: {'identifier': 'car_db_manager_action'}
[0.000993] (-) JobUnselected: {'identifier': 'car_db_manager_bridge'}
[0.001012] (-) JobUnselected: {'identifier': 'car_db_manager_msgs'}
[0.001032] (-) JobUnselected: {'identifier': 'car_db_manager_qtgui'}
[0.001051] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001070] (-) JobUnselected: {'identifier': 'create_autonomy'}
[0.001089] (-) JobUnselected: {'identifier': 'dlux_global_planner'}
[0.001108] (-) JobUnselected: {'identifier': 'dlux_plugins'}
[0.001127] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001146] (-) JobUnselected: {'identifier': 'dwb_local_planner'}
[0.001165] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.001184] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.001203] (-) JobUnselected: {'identifier': 'global_planner_tests'}
[0.001221] (-) JobUnselected: {'identifier': 'i_robot_navigation'}
[0.001240] (-) JobUnselected: {'identifier': 'i_robot_stage'}
[0.001259] (-) JobUnselected: {'identifier': 'libcreate'}
[0.001281] (-) JobUnselected: {'identifier': 'locomotor'}
[0.001300] (-) JobUnselected: {'identifier': 'locomotor_msgs'}
[0.001319] (-) JobUnselected: {'identifier': 'locomove_base'}
[0.001338] (-) JobUnselected: {'identifier': 'mongodb_log'}
[0.001357] (-) JobUnselected: {'identifier': 'mongodb_store'}
[0.001376] (-) JobUnselected: {'identifier': 'mongodb_store_msgs'}
[0.001394] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.001413] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.001432] (-) JobUnselected: {'identifier': 'nav_core2'}
[0.001450] (-) JobUnselected: {'identifier': 'nav_core_adapter'}
[0.001478] (-) JobUnselected: {'identifier': 'nav_grid'}
[0.001521] (-) JobUnselected: {'identifier': 'nav_grid_iterators'}
[0.001556] (-) JobUnselected: {'identifier': 'nav_grid_pub_sub'}
