[0.000000] (-) TimerEvent: {}
[0.000226] (-) JobUnselected: {'identifier': 'botcmd_msgs'}
[0.000265] (-) JobUnselected: {'identifier': 'ca_description'}
[0.000284] (-) JobUnselected: {'identifier': 'ca_driver'}
[0.000300] (-) JobUnselected: {'identifier': 'ca_msgs'}
[0.000335] (-) JobUnselected: {'identifier': 'ca_tools'}
[0.000350] (-) JobUnselected: {'identifier': 'car_db_manager_action'}
[0.000364] (-) JobUnselected: {'identifier': 'car_db_manager_bridge'}
[0.000398] (-) JobUnselected: {'identifier': 'car_db_manager_msgs'}
[0.000411] (-) JobUnselected: {'identifier': 'car_db_manager_qtgui'}
[0.000441] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000454] (-) JobUnselected: {'identifier': 'create_autonomy'}
[0.000468] (-) JobUnselected: {'identifier': 'dlux_global_planner'}
[0.000481] (-) JobUnselected: {'identifier': 'dlux_plugins'}
[0.000494] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000507] (-) JobUnselected: {'identifier': 'dwb_local_planner'}
[0.000522] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000535] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000548] (-) JobUnselected: {'identifier': 'global_planner_tests'}
[0.000561] (-) JobUnselected: {'identifier': 'i_robot_navigation'}
[0.000575] (-) JobUnselected: {'identifier': 'i_robot_stage'}
[0.000588] (-) JobUnselected: {'identifier': 'libcreate'}
[0.000603] (-) JobUnselected: {'identifier': 'locomotor'}
[0.000617] (-) JobUnselected: {'identifier': 'locomotor_msgs'}
[0.000630] (-) JobUnselected: {'identifier': 'locomove_base'}
[0.000643] (-) JobUnselected: {'identifier': 'mongodb_log'}
[0.000656] (-) JobUnselected: {'identifier': 'mongodb_store'}
[0.000669] (-) JobUnselected: {'identifier': 'mongodb_store_msgs'}
[0.000683] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000696] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000709] (-) JobUnselected: {'identifier': 'nav_core2'}
[0.000722] (-) JobUnselected: {'identifier': 'nav_core_adapter'}
[0.000735] (-) JobUnselected: {'identifier': 'nav_grid'}
[0.000748] (-) JobUnselected: {'identifier': 'nav_grid_iterators'}
[0.000762] (-) JobUnselected: {'identifier': 'nav_grid_pub_sub'}
[0.000775] (-) JobUnselected: {'identifier': 'omron_os32c_driver'}
[0.000788] (-) JobUnselected: {'identifier': 'open_auto_dock'}
[0.000801] (-) JobUnselected: {'identifier': 'open_auto_dock_msgs'}
[0.000814] (-) JobUnselected: {'identifier': 'pnp_msgs'}
[0.000827] (-) JobUnselected: {'identifier': 'pnp_ros'}
[0.000859] (-) JobUnselected: {'identifier': 'pnp_rosplan'}
[0.000873] (-) JobUnselected: {'identifier': 'razor_imu_9dof'}
[0.000887] (-) JobUnselected: {'identifier': 'reset_location'}
[0.000916] (-) JobUnselected: {'identifier': 'robot_control_msgs'}
[0.000929] (-) JobUnselected: {'identifier': 'robot_database_bridge'}
[0.000942] (-) JobUnselected: {'identifier': 'robot_localization'}
[0.000955] (-) JobUnselected: {'identifier': 'robot_navigation'}
[0.000968] (-) JobUnselected: {'identifier': 'robot_scheduling_actions'}
[0.000982] (-) JobUnselected: {'identifier': 'robot_scheduling_msgs'}
[0.000995] (-) JobUnselected: {'identifier': 'robot_scheduling_server'}
[0.001008] (-) JobUnselected: {'identifier': 'robot_udp_bridge'}
[0.001021] (-) JobUnselected: {'identifier': 'ros_utility_tools'}
[0.001034] (-) JobUnselected: {'identifier': 'rp_action'}
[0.001047] (-) JobUnselected: {'identifier': 'rp_action_msgs'}
[0.001060] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.001073] (-) JobUnselected: {'identifier': 'samsungcmd_msgs'}
[0.001087] (-) JobUnselected: {'identifier': 'spatio_temporal_voxel_layer'}
[0.001100] (-) JobUnselected: {'identifier': 'stated_roslaunch'}
[0.001113] (-) JobUnselected: {'identifier': 'teb2_local_planner'}
[0.001126] (-) JobUnselected: {'identifier': 'timed_roslaunch'}
[0.001139] (-) JobUnselected: {'identifier': 'tug_example_actions'}
[0.001152] (-) JobUnselected: {'identifier': 'tug_example_msgs'}
[0.001166] (-) JobUnselected: {'identifier': 'tug_example_pnp_server'}
[0.001179] (-) JobUnselected: {'identifier': 'turtlebot_teleop'}
[0.001192] (-) JobUnselected: {'identifier': 'yocs_cmd_vel_mux'}
[0.001210] (-) EventReactorShutdown: {}
